日期,收盘,开盘,高,低,交易量,涨跌幅
2021年10月29日,3267.25 ,3241.91 ,"3,267.25","3,239.08",3.48B,0.85%
2021年10月28日,3239.61 ,3240.54 ,"3,252.73","3,223.72",2.99B,-0.23%
2021年10月27日,3247.10 ,3282.26 ,"3,282.26","3,236.15",2.80B,-1.31%
2021年10月26日,3290.04 ,3312.30 ,"3,327.66","3,285.23",2.60B,-0.67%
2021年10月25日,3312.30 ,3295.25 ,"3,316.57","3,284.89",2.83B,-0.18%
2021年10月22日,3318.13 ,3287.93 ,"3,336.73","3,282.88",3.13B,1.21%
2021年10月21日,3278.54 ,3256.61 ,"3,294.05","3,253.57",3.13B,0.72%
2021年10月20日,3255.00 ,3264.47 ,"3,282.57","3,242.10",2.76B,-0.05%
2021年10月19日,3256.67 ,3227.01 ,"3,265.51","3,226.07",2.91B,0.84%
2021年10月18日,3229.63 ,3289.32 ,"3,289.32","3,213.24",3.24B,-1.98%
2021年10月15日,3294.83 ,3258.57 ,"3,301.15","3,251.10",3.26B,0.74%
2021年10月14日,3270.69 ,3289.98 ,"3,301.91","3,264.25",2.41B,-0.67%
2021年10月13日,3292.76 ,3257.40 ,"3,307.23","3,243.61",2.88B,1.02%
2021年10月12日,3259.38 ,3266.02 ,"3,280.06","3,232.32",3.50B,-0.52%
2021年10月11日,3276.41 ,3264.72 ,"3,318.15","3,263.16",3.84B,0.62%
2021年10月8日,3256.26 ,3229.07 ,"3,263.93","3,215.56",3.89B,1.85%
2021年9月30日,3196.99 ,3202.02 ,"3,213.56","3,189.18",2.97B,-0.07%
2021年9月29日,3199.23 ,3186.12 ,"3,222.28","3,160.39",4.08B,-0.37%
2021年9月28日,3211.15 ,3197.04 ,"3,224.57","3,173.85",3.81B,0.35%
2021年9月27日,3199.97 ,3162.43 ,"3,218.88","3,162.43",4.23B,1.74%
2021年9月24日,3145.11 ,3120.43 ,"3,173.05","3,120.43",3.54B,0.55%
2021年9月23日,3127.82 ,3135.75 ,"3,159.97","3,116.56",3.78B,0.18%
2021年9月22日,3122.34 ,3100.39 ,"3,129.78","3,096.03",4.06B,-1.25%
2021年9月17日,3161.92 ,3117.93 ,"3,162.05","3,110.03",4.00B,1.07%
2021年9月16日,3128.59 ,3145.44 ,"3,157.90","3,113.04",4.55B,-0.57%
2021年9月15日,3146.63 ,3180.55 ,"3,180.55","3,130.97",4.28B,-1.31%
2021年9月14日,3188.26 ,3243.68 ,"3,257.62","3,182.20",5.69B,-1.66%
2021年9月13日,3242.04 ,3246.86 ,"3,271.10","3,222.22",5.15B,-0.32%
2021年9月10日,3252.32 ,3203.06 ,"3,268.73","3,201.74",6.15B,1.50%
2021年9月9日,3204.28 ,3195.99 ,"3,208.63","3,183.21",5.24B,-0.28%
2021年9月8日,3213.26 ,3241.00 ,"3,254.10","3,203.28",4.21B,-1.07%
2021年9月7日,3248.05 ,3210.27 ,"3,259.92","3,192.02",4.62B,1.15%
2021年9月6日,3211.20 ,3175.88 ,"3,228.95","3,166.62",4.58B,1.11%
2021年9月3日,3175.88 ,3172.50 ,"3,203.32","3,137.88",5.28B,0.28%
2021年9月2日,3167.10 ,3166.27 ,"3,189.25","3,149.25",5.18B,0.07%
2021年9月1日,3165.04 ,3087.26 ,"3,185.82","3,064.50",7.30B,2.19%
2021年8月31日,3097.06 ,3099.47 ,"3,122.91","3,056.70",5.16B,-0.50%
2021年8月30日,3112.70 ,3141.12 ,"3,141.76","3,092.83",4.52B,-0.33%
2021年8月27日,3123.05 ,3086.05 ,"3,145.98","3,084.31",3.26B,1.11%
2021年8月26日,3088.83 ,3156.91 ,"3,156.91","3,087.30",3.16B,-2.25%
2021年8月25日,3159.80 ,3160.74 ,"3,173.37","3,138.22",3.37B,0.38%
2021年8月24日,3147.77 ,3106.23 ,"3,160.56","3,104.97",3.82B,1.54%
2021年8月23日,3099.89 ,3079.29 ,"3,109.99","3,069.53",3.17B,0.88%
2021年8月20日,3072.75 ,3105.16 ,"3,118.70","3,044.88",3.85B,-2.28%
2021年8月19日,3144.37 ,3179.93 ,"3,185.73","3,130.47",4.52B,-1.45%
2021年8月18日,3190.55 ,3148.38 ,"3,204.87","3,133.88",4.55B,1.29%
2021年8月17日,3149.88 ,3219.83 ,"3,240.33","3,141.66",3.98B,-2.26%
2021年8月16日,3222.62 ,3212.66 ,"3,246.93","3,205.53",3.25B,0.15%
2021年8月13日,3217.84 ,3212.33 ,"3,242.31","3,199.85",2.82B,-0.26%
2021年8月12日,3226.11 ,3247.80 ,"3,262.90","3,222.69",3.23B,-1.12%
2021年8月11日,3262.58 ,3280.81 ,"3,298.41","3,259.53",4.01B,-0.79%
2021年8月10日,3288.65 ,3231.15 ,"3,290.25","3,193.96",3.25B,1.65%
2021年8月9日,3235.21 ,3171.09 ,"3,253.08","3,169.19",3.87B,1.24%
2021年8月6日,3195.70 ,3211.64 ,"3,213.10","3,181.38",2.99B,-0.98%
2021年8月5日,3227.36 ,3214.47 ,"3,266.30","3,198.37",3.18B,-0.18%
2021年8月4日,3233.10 ,3219.40 ,"3,242.39","3,211.40",3.36B,0.29%
2021年8月3日,3223.83 ,3197.89 ,"3,235.40","3,181.76",3.89B,0.39%
2021年8月2日,3211.14 ,3112.30 ,"3,217.81","3,082.83",4.56B,2.50%
2021年7月30日,3132.82 ,3160.47 ,"3,160.47","3,114.51",3.24B,-1.57%
2021年7月29日,3182.80 ,3206.44 ,"3,207.90","3,159.77",3.56B,0.89%
2021年7月28日,3154.64 ,3107.12 ,"3,171.08","3,098.02",4.05B,0.90%
2021年7月27日,3126.38 ,3228.44 ,"3,238.39","3,117.61",4.98B,-3.16%
2021年7月26日,3228.37 ,3339.86 ,"3,339.86","3,195.62",4.43B,-3.84%
2021年7月23日,3357.45 ,3389.40 ,"3,389.43","3,353.04",3.68B,-1.04%
2021年7月22日,3392.72 ,3386.91 ,"3,410.63","3,378.12",3.70B,0.12%
2021年7月21日,3388.52 ,3385.14 ,"3,410.82","3,375.63",3.35B,0.29%
2021年7月20日,3378.63 ,3364.31 ,"3,382.09","3,357.75",2.59B,-0.20%
2021年7月19日,3385.37 ,3362.58 ,"3,390.27","3,322.32",2.98B,0.46%
2021年7月16日,3369.90 ,3405.40 ,"3,413.27","3,365.95",2.72B,-1.21%
2021年7月15日,3411.29 ,3335.05 ,"3,414.42","3,332.78",3.20B,2.15%
2021年7月14日,3339.38 ,3385.39 ,"3,385.39","3,328.88",3.47B,-1.54%
2021年7月13日,3391.74 ,3384.75 ,"3,409.79","3,377.20",3.14B,0.21%
2021年7月12日,3384.51 ,3385.12 ,"3,413.35","3,357.13",3.84B,0.68%
2021年7月9日,3361.59 ,3359.20 ,"3,373.14","3,329.74",3.16B,-0.35%
2021年7月8日,3373.26 ,3432.89 ,"3,434.15","3,365.53",3.39B,-1.49%
2021年7月7日,3424.39 ,3384.57 ,"3,433.73","3,382.24",2.69B,0.56%
2021年7月6日,3405.28 ,3405.47 ,"3,406.76","3,368.14",2.92B,0.01%
2021年7月5日,3404.79 ,3402.11 ,"3,415.56","3,376.84",3.09B,-0.10%
2021年7月2日,3408.24 ,3495.60 ,"3,495.60","3,403.80",3.47B,-3.59%
2021年7月1日,3535.25 ,3510.56 ,"3,535.33","3,479.52",2.96B,1.05%
2021年6月30日,3498.65 ,3477.38 ,"3,504.96","3,477.38",2.49B,0.46%
2021年6月29日,3482.73 ,3514.32 ,"3,517.36","3,475.44",2.88B,-1.08%
2021年6月28日,3520.74 ,3541.10 ,"3,543.70","3,502.78",2.97B,-0.40%
2021年6月25日,3535.02 ,3483.16 ,"3,545.43","3,479.74",3.60B,1.47%
2021年6月24日,3483.91 ,3476.68 ,"3,487.27","3,452.61",2.88B,0.36%
2021年6月23日,3471.34 ,3469.28 ,"3,496.44","3,460.69",2.96B,0.19%
2021年6月22日,3464.71 ,3444.75 ,"3,469.81","3,437.95",3.26B,0.97%
2021年6月21日,3431.25 ,3440.74 ,"3,455.56","3,410.40",3.05B,-0.68%
2021年6月18日,3454.59 ,3475.55 ,"3,488.26","3,426.03",3.61B,-0.78%
2021年6月17日,3481.60 ,3477.47 ,"3,503.55","3,467.58",2.94B,-0.13%
2021年6月16日,3486.29 ,3525.75 ,"3,532.85","3,480.41",3.16B,-1.20%
2021年6月15日,3528.67 ,3570.40 ,"3,579.09","3,513.13",3.75B,-1.35%
2021年6月11日,3576.78 ,3610.14 ,"3,611.25","3,564.65",4.07B,-0.86%
2021年6月10日,3607.68 ,3588.14 ,"3,634.92","3,582.16",2.87B,0.56%
2021年6月9日,3587.53 ,3575.49 ,"3,599.62","3,572.36",2.73B,0.20%
2021年6月8日,3580.28 ,3597.94 ,"3,634.82","3,558.46",2.61B,-0.58%
2021年6月7日,3601.11 ,3610.89 ,"3,613.28","3,579.01",2.57B,-0.32%
2021年6月4日,3612.70 ,3574.30 ,"3,655.92","3,573.70",2.89B,0.60%
2021年6月3日,3591.16 ,3620.79 ,"3,637.00","3,589.23",2.60B,-0.86%
2021年6月2日,3622.40 ,3661.94 ,"3,665.92","3,604.78",2.80B,-0.78%
2021年6月1日,3650.90 ,3641.97 ,"3,652.95","3,608.20",2.82B,0.02%
2021年5月31日,3650.22 ,3652.89 ,"3,652.89","3,615.42",2.63B,-0.25%
2021年5月28日,3659.30 ,3663.88 ,"3,689.25","3,630.57",2.87B,-0.15%
2021年5月27日,3664.94 ,3645.48 ,"3,709.00","3,628.96",2.99B,0.21%
2021年5月26日,3657.19 ,3656.34 ,"3,678.07","3,643.98",3.46B,0.44%
2021年5月25日,3641.29 ,3505.81 ,"3,645.07","3,505.63",4.42B,4.10%
2021年5月24日,3497.75 ,3482.99 ,"3,499.45","3,457.29",2.30B,0.46%
2021年5月21日,3481.86 ,3532.87 ,"3,544.27","3,475.26",2.06B,-1.15%
2021年5月20日,3522.45 ,3514.43 ,"3,530.49","3,496.52",2.38B,0.31%
2021年5月19日,3511.47 ,3531.79 ,"3,531.79","3,501.38",2.38B,-0.74%
2021年5月18日,3537.70 ,3543.11 ,"3,550.08","3,520.67",2.38B,-0.06%
2021年5月17日,3539.91 ,3502.74 ,"3,556.49","3,502.21",3.02B,1.05%
2021年5月14日,3503.04 ,3426.43 ,"3,504.65","3,406.71",3.45B,2.61%
2021年5月13日,3413.89 ,3418.58 ,"3,435.45","3,395.81",2.19B,-0.99%
2021年5月12日,3447.86 ,3423.42 ,"3,456.07","3,421.66",2.37B,0.30%
2021年5月11日,3437.71 ,3380.63 ,"3,443.36","3,371.47",2.49B,1.11%
2021年5月10日,3399.98 ,3410.01 ,"3,416.03","3,371.13",2.80B,-0.19%
2021年5月7日,3406.31 ,3457.91 ,"3,470.52","3,402.08",3.01B,-1.26%
2021年5月6日,3449.94 ,3475.05 ,"3,510.40","3,443.31",2.99B,-1.18%
2021年4月30日,3491.19 ,3518.86 ,"3,522.61","3,471.38",3.40B,-0.74%
2021年4月29日,3517.21 ,3483.10 ,"3,519.83","3,468.62",3.15B,1.27%
2021年4月28日,3473.04 ,3457.17 ,"3,473.04","3,440.20",2.25B,-0.09%
2021年4月27日,3476.30 ,3469.98 ,"3,482.60","3,450.02",2.08B,0.25%
2021年4月26日,3467.66 ,3540.53 ,"3,548.21","3,462.16",2.59B,-1.60%
2021年4月23日,3524.02 ,3487.12 ,"3,533.23","3,482.86",2.06B,1.05%
2021年4月22日,3487.43 ,3521.98 ,"3,524.71","3,477.06",2.27B,-0.82%
2021年4月21日,3516.10 ,3493.79 ,"3,524.54","3,488.49",2.08B,0.17%
2021年4月20日,3510.12 ,3496.81 ,"3,532.79","3,491.89",2.12B,-0.09%
2021年4月19日,3513.40 ,3449.05 ,"3,515.88","3,426.82",2.72B,1.89%
2021年4月16日,3448.10 ,3445.09 ,"3,456.72","3,411.10",1.87B,0.48%
2021年4月15日,3431.49 ,3456.55 ,"3,456.55","3,399.76",2.13B,-1.09%
2021年4月14日,3469.17 ,3469.40 ,"3,484.06","3,442.23",1.95B,0.22%
2021年4月13日,3461.46 ,3483.01 ,"3,505.39","3,448.57",2.11B,-0.45%
2021年4月12日,3477.07 ,3505.71 ,"3,520.73","3,465.65",2.49B,-1.05%
2021年4月9日,3514.11 ,3564.66 ,"3,565.22","3,504.49",1.97B,-1.65%
2021年4月8日,3573.04 ,3541.05 ,"3,582.91","3,533.32",1.95B,0.41%
2021年4月7日,3558.47 ,3593.17 ,"3,593.17","3,537.06",2.28B,-1.01%
2021年4月6日,3594.71 ,3624.80 ,"3,624.80","3,581.76",1.80B,-0.61%
2021年4月2日,3616.76 ,3592.88 ,"3,616.80","3,583.04",2.34B,0.95%
2021年4月1日,3582.65 ,3547.46 ,"3,586.36","3,545.09",2.14B,1.22%
2021年3月31日,3539.37 ,3573.86 ,"3,573.86","3,518.17",3.00B,-1.06%
2021年3月30日,3577.24 ,3541.38 ,"3,582.02","3,531.63",2.58B,1.12%
2021年3月29日,3537.71 ,3543.25 ,"3,563.40","3,510.41",2.82B,0.23%
2021年3月26日,3529.73 ,3483.69 ,"3,539.23","3,480.33",2.48B,1.90%
2021年3月25日,3463.87 ,3454.46 ,"3,479.13","3,439.51",2.33B,-0.06%
2021年3月24日,3466.04 ,3507.55 ,"3,528.73","3,457.44",2.56B,-1.43%
2021年3月23日,3516.36 ,3541.33 ,"3,542.82","3,482.59",2.53B,-0.62%
2021年3月22日,3538.43 ,3516.66 ,"3,558.94","3,511.72",2.64B,0.75%
2021年3月19日,3512.02 ,3565.09 ,"3,573.06","3,496.38",3.47B,-2.60%
2021年3月18日,3605.60 ,3598.85 ,"3,619.33","3,586.50",2.34B,0.41%
2021年3月17日,3590.83 ,3588.23 ,"3,616.94","3,552.49",2.62B,-0.23%
2021年3月16日,3599.16 ,3579.01 ,"3,608.11","3,556.62",2.84B,0.91%
2021年3月15日,3566.88 ,3620.04 ,"3,627.31","3,539.49",3.75B,-1.81%
2021年3月12日,3632.58 ,3647.51 ,"3,647.51","3,600.39",3.51B,0.20%
2021年3月11日,3625.31 ,3554.68 ,"3,633.77","3,554.68",3.11B,2.64%
2021年3月10日,3532.05 ,3563.56 ,"3,572.37","3,528.32",2.81B,0.64%
2021年3月9日,3509.61 ,3570.26 ,"3,595.19","3,489.97",4.23B,-1.79%
2021年3月8日,3573.43 ,3713.46 ,"3,732.78","3,571.42",4.18B,-3.12%
2021年3月5日,3688.68 ,3655.91 ,"3,721.28","3,627.29",3.61B,-0.54%
2021年3月4日,3708.66 ,3769.97 ,"3,781.28","3,686.09",3.64B,-2.85%
2021年3月3日,3817.41 ,3710.26 ,"3,818.07","3,708.23",3.66B,2.65%
2021年3月2日,3718.77 ,3812.35 ,"3,812.35","3,689.01",3.52B,-1.82%
2021年3月1日,3787.87 ,3793.37 ,"3,795.05","3,747.58",3.37B,0.83%
2021年2月26日,3756.86 ,3768.90 ,"3,819.04","3,753.44",4.16B,-2.45%
2021年2月25日,3851.03 ,3844.62 ,"3,878.21","3,818.71",4.67B,1.20%
2021年2月24日,3805.47 ,3902.36 ,"3,910.01","3,766.60",3.93B,-2.37%
2021年2月23日,3897.72 ,3854.16 ,"3,942.09","3,854.16",4.35B,0.41%
2021年2月22日,3881.87 ,4020.01 ,"4,020.01","3,879.48",5.87B,-3.30%
2021年2月19日,4014.46 ,3994.83 ,"4,023.88","3,956.98",4.29B,0.00%
2021年2月18日,4014.32 ,4097.87 ,"4,110.18","3,996.63",5.12B,-0.35%
2021年2月10日,4028.53 ,3967.68 ,"4,039.23","3,967.36",3.90B,1.92%
2021年2月9日,3952.83 ,3900.86 ,"3,952.94","3,871.79",3.27B,1.60%
2021年2月8日,3890.47 ,3856.94 ,"3,896.54","3,835.10",3.33B,1.29%
2021年2月5日,3840.77 ,3819.80 ,"3,876.68","3,808.17",4.16B,1.03%
2021年2月4日,3801.62 ,3764.43 ,"3,820.34","3,759.43",3.32B,0.69%
2021年2月3日,3775.72 ,3768.71 ,"3,796.43","3,747.38",3.16B,0.11%
2021年2月2日,3771.47 ,3751.74 ,"3,774.06","3,731.52",2.89B,0.67%
2021年2月1日,3746.37 ,3712.78 ,"3,747.73","3,699.20",2.95B,0.89%
2021年1月29日,3713.25 ,3758.89 ,"3,767.01","3,675.49",3.27B,-0.58%
2021年1月28日,3735.03 ,3771.79 ,"3,779.41","3,720.12",3.00B,-2.18%
2021年1月27日,3818.27 ,3818.42 ,"3,831.62","3,790.81",2.87B,0.13%
2021年1月26日,3813.29 ,3878.25 ,"3,878.25","3,809.66",2.96B,-2.18%
2021年1月25日,3898.15 ,3843.49 ,"3,903.19","3,828.75",3.73B,1.35%
2021年1月22日,3846.39 ,3851.13 ,"3,862.89","3,823.33",3.83B,-0.10%
2021年1月21日,3850.06 ,3833.78 ,"3,874.67","3,812.81",3.67B,0.93%
2021年1月20日,3814.65 ,3813.91 ,"3,838.31","3,790.54",3.44B,0.16%
2021年1月19日,3808.69 ,3855.75 ,"3,862.11","3,792.59",4.27B,-1.06%
2021年1月18日,3849.40 ,3807.99 ,"3,873.45","3,796.43",4.22B,0.82%
2021年1月15日,3817.93 ,3825.54 ,"3,866.01","3,789.48",5.56B,0.18%
2021年1月14日,3811.22 ,3863.10 ,"3,866.95","3,800.79",5.09B,-1.60%
2021年1月13日,3873.23 ,3914.00 ,"3,931.95","3,844.28",5.53B,-0.84%
2021年1月12日,3906.12 ,3764.65 ,"3,906.12","3,764.65",4.82B,3.43%
2021年1月11日,3776.53 ,3794.83 ,"3,849.68","3,763.15",4.75B,-0.31%
2021年1月8日,3788.32 ,3815.57 ,"3,833.86","3,752.08",4.16B,-0.52%
2021年1月7日,3808.07 ,3750.88 ,"3,808.07","3,729.99",4.29B,1.91%
2021年1月6日,3736.65 ,3688.95 ,"3,736.65","3,670.54",4.52B,1.45%
2021年1月5日,3683.36 ,3627.65 ,"3,683.36","3,620.56",4.72B,1.10%
2021年1月4日,3643.36 ,3632.69 ,"3,659.17","3,608.34",4.35B,0.07%
2020年12月31日,3640.64 ,3581.45 ,"3,646.75","3,581.36",3.66B,1.86%
2020年12月30日,3574.13 ,3513.79 ,"3,574.21","3,512.31",2.68B,1.61%
2020年12月29日,3517.35 ,3533.13 ,"3,539.67","3,513.66",2.60B,-0.18%
2020年12月28日,3523.84 ,3514.71 ,"3,548.53","3,503.97",2.64B,0.32%
2020年12月25日,3512.49 ,3476.55 ,"3,514.51","3,468.40",2.11B,0.67%
2020年12月24日,3489.27 ,3495.85 ,"3,521.04","3,474.02",2.01B,-0.15%
2020年12月23日,3494.59 ,3483.19 ,"3,516.02","3,473.10",2.72B,0.68%
2020年12月22日,3470.90 ,3519.05 ,"3,526.11","3,467.53",3.49B,-1.46%
2020年12月21日,3522.26 ,3505.91 ,"3,531.42","3,481.26",2.67B,0.41%
2020年12月18日,3507.97 ,3529.02 ,"3,538.57","3,493.30",2.63B,-0.89%
2020年12月17日,3539.54 ,3497.39 ,"3,543.73","3,491.92",2.71B,1.55%
2020年12月16日,3485.40 ,3480.93 ,"3,494.65","3,469.55",2.25B,0.48%
2020年12月15日,3468.83 ,3466.49 ,"3,476.88","3,443.86",2.62B,0.03%
2020年12月14日,3467.77 ,3443.03 ,"3,472.12","3,435.31",2.50B,1.16%
2020年12月11日,3427.86 ,3473.87 ,"3,477.47","3,404.93",3.89B,-0.90%
2020年12月10日,3459.03 ,3464.94 ,"3,478.91","3,442.15",2.92B,-0.27%
2020年12月9日,3468.53 ,3511.76 ,"3,517.92","3,468.00",3.07B,-0.87%
2020年12月8日,3499.06 ,3512.86 ,"3,529.35","3,490.89",2.89B,-0.31%
2020年12月7日,3509.94 ,3547.93 ,"3,548.78","3,495.65",3.55B,-0.89%
2020年12月4日,3541.52 ,3535.94 ,"3,546.71","3,504.43",3.32B,0.13%
2020年12月3日,3536.81 ,3545.28 ,"3,550.10","3,519.43",3.59B,-0.24%
2020年12月2日,3545.34 ,3555.60 ,"3,568.72","3,527.12",3.94B,-0.24%
2020年12月1日,3554.01 ,3480.56 ,"3,559.07","3,476.94",5.25B,2.44%
2020年11月30日,3469.42 ,3509.66 ,"3,570.22","3,469.42",8.43B,-0.84%
2020年11月27日,3498.66 ,3453.31 ,"3,498.66","3,447.61",5.39B,1.54%
2020年11月26日,3445.74 ,3418.56 ,"3,447.61","3,414.06",3.35B,0.74%
2020年11月25日,3420.29 ,3461.48 ,"3,475.25","3,420.29",4.07B,-0.65%
2020年11月24日,3442.72 ,3461.43 ,"3,470.91","3,437.73",3.42B,-0.78%
2020年11月23日,3469.80 ,3427.78 ,"3,485.89","3,426.78",4.93B,1.70%
2020年11月20日,3411.93 ,3407.73 ,"3,415.25","3,398.79",2.97B,0.05%
2020年11月19日,3410.09 ,3377.23 ,"3,415.86","3,372.84",3.26B,0.68%
2020年11月18日,3387.04 ,3377.84 ,"3,408.30","3,373.00",4.36B,0.23%
2020年11月17日,3379.27 ,3376.87 ,"3,388.96","3,362.50",3.31B,0.06%
2020年11月16日,3377.11 ,3352.69 ,"3,377.11","3,344.40",3.23B,1.16%
2020年11月13日,3338.31 ,3376.91 ,"3,377.16","3,318.45",3.45B,-1.74%
2020年11月12日,3397.35 ,3413.21 ,"3,420.65","3,387.33",2.71B,-0.41%
2020年11月11日,3411.23 ,3415.88 ,"3,432.27","3,407.84",4.04B,-0.14%
2020年11月10日,3416.14 ,3439.36 ,"3,440.56","3,402.38",4.18B,-0.06%
2020年11月9日,3418.28 ,3382.80 ,"3,428.13","3,382.80",4.39B,1.76%
2020年11月6日,3359.12 ,3380.20 ,"3,380.20","3,339.47",3.50B,-0.31%
2020年11月5日,3369.50 ,3366.40 ,"3,386.98","3,345.20",3.13B,1.12%
2020年11月4日,3332.19 ,3311.54 ,"3,340.53","3,301.32",2.83B,0.75%
2020年11月3日,3307.48 ,3284.04 ,"3,324.41","3,282.55",3.41B,1.27%
2020年11月2日,3265.90 ,3280.62 ,"3,298.08","3,249.96",3.47B,-0.44%
2020年10月30日,3280.38 ,3321.94 ,"3,332.87","3,271.27",3.57B,-1.33%
2020年10月29日,3324.44 ,3278.98 ,"3,351.12","3,277.57",3.02B,0.34%
2020年10月28日,3313.23 ,3295.44 ,"3,324.80","3,285.04",2.83B,0.58%
2020年10月27日,3294.09 ,3298.06 ,"3,305.61","3,281.62",2.56B,-0.32%
2020年10月26日,3304.70 ,3320.03 ,"3,328.68","3,288.58",3.47B,-1.25%
2020年10月23日,3346.61 ,3364.60 ,"3,395.41","3,346.61",3.39B,-0.68%
2020年10月22日,3369.53 ,3370.08 ,"3,378.65","3,328.32",2.74B,-0.23%
2020年10月21日,3377.42 ,3372.69 ,"3,380.05","3,351.72",3.13B,0.41%
2020年10月20日,3363.50 ,3352.03 ,"3,365.18","3,340.84",2.64B,0.27%
2020年10月19日,3354.31 ,3398.75 ,"3,430.56","3,349.16",4.13B,-0.77%
2020年10月16日,3380.17 ,3374.17 ,"3,400.42","3,362.18",3.49B,0.26%
2020年10月15日,3371.40 ,3369.72 ,"3,392.93","3,363.81",2.74B,0.06%
2020年10月14日,3369.50 ,3380.56 ,"3,380.56","3,359.62",2.58B,-0.51%
2020年10月13日,3386.89 ,3381.64 ,"3,391.99","3,363.98",2.79B,-0.03%
2020年10月12日,3387.88 ,3302.98 ,"3,388.59","3,302.62",3.98B,3.07%
2020年10月9日,3286.86 ,3281.46 ,"3,296.67","3,274.19",2.46B,1.68%
2020年9月30日,3232.42 ,3252.59 ,"3,269.31","3,218.55",2.27B,-0.27%
2020年9月29日,3241.32 ,3266.01 ,"3,266.94","3,241.32",1.90B,-0.28%
2020年9月28日,3250.50 ,3237.30 ,"3,268.26","3,237.30",2.10B,0.64%
2020年9月25日,3229.78 ,3232.69 ,"3,244.03","3,219.30",2.09B,0.34%
2020年9月24日,3218.72 ,3259.12 ,"3,264.83","3,214.70",2.56B,-1.74%
2020年9月23日,3275.74 ,3271.47 ,"3,284.40","3,256.18",2.05B,0.16%
2020年9月22日,3270.52 ,3285.77 ,"3,319.95","3,260.49",2.68B,-1.24%
2020年9月21日,3311.59 ,3359.23 ,"3,360.92","3,311.11",2.98B,-1.08%
2020年9月18日,3347.78 ,3267.63 ,"3,347.78","3,264.33",4.46B,2.55%
2020年9月17日,3264.69 ,3286.15 ,"3,287.26","3,253.52",2.34B,-0.94%
2020年9月16日,3295.58 ,3314.21 ,"3,322.32","3,283.88",2.22B,-0.66%
2020年9月15日,3317.64 ,3291.20 ,"3,321.18","3,275.06",2.13B,0.71%
2020年9月14日,3294.15 ,3283.93 ,"3,298.93","3,275.30",2.11B,0.88%
2020年9月11日,3265.50 ,3238.47 ,"3,270.59","3,230.32",2.35B,0.62%
2020年9月10日,3245.50 ,3264.32 ,"3,273.90","3,239.58",3.00B,0.30%
2020年9月9日,3235.70 ,3253.50 ,"3,267.86","3,217.15",3.01B,-1.65%
2020年9月8日,3289.91 ,3267.31 ,"3,296.14","3,249.25",3.24B,1.12%
2020年9月7日,3253.43 ,3303.64 ,"3,328.72","3,243.43",3.26B,-1.69%
2020年9月4日,3309.21 ,3293.49 ,"3,314.55","3,283.31",2.86B,-0.76%
2020年9月3日,3334.41 ,3349.26 ,"3,374.01","3,322.90",3.13B,-0.39%
2020年9月2日,3347.30 ,3371.57 ,"3,373.35","3,316.50",3.55B,-0.23%
2020年9月1日,3355.10 ,3333.21 ,"3,355.10","3,328.12",3.05B,0.34%
2020年8月31日,3343.89 ,3386.62 ,"3,408.58","3,343.21",4.79B,-0.73%
2020年8月28日,3368.44 ,3296.52 ,"3,372.74","3,286.14",3.90B,2.36%
2020年8月27日,3290.79 ,3286.78 ,"3,291.68","3,257.57",2.81B,0.39%
2020年8月26日,3277.89 ,3308.93 ,"3,327.82","3,269.09",3.29B,-1.00%
2020年8月25日,3310.84 ,3312.03 ,"3,335.03","3,300.20",2.84B,0.37%
2020年8月24日,3298.72 ,3306.56 ,"3,320.97","3,291.66",2.97B,0.43%
2020年8月21日,3284.73 ,3287.43 ,"3,299.94","3,261.55",2.81B,0.62%
2020年8月20日,3264.53 ,3285.20 ,"3,288.21","3,252.18",3.71B,-1.30%
2020年8月19日,3307.66 ,3361.72 ,"3,366.68","3,306.33",4.44B,-1.77%
2020年8月18日,3367.33 ,3369.87 ,"3,377.52","3,350.78",4.74B,-0.05%
2020年8月17日,3368.85 ,3300.90 ,"3,397.50","3,299.21",7.59B,2.44%
2020年8月14日,3288.51 ,3236.95 ,"3,292.03","3,230.21",3.67B,1.44%
2020年8月13日,3241.84 ,3261.13 ,"3,265.51","3,230.17",3.71B,-0.24%
2020年8月12日,3249.74 ,3255.54 ,"3,266.58","3,199.55",5.10B,-0.40%
2020年8月11日,3262.82 ,3291.34 ,"3,333.75","3,257.37",5.38B,-0.70%
2020年8月10日,3285.76 ,3250.54 ,"3,309.98","3,232.09",5.33B,0.67%
2020年8月7日,3263.75 ,3277.44 ,"3,288.79","3,219.42",4.90B,-0.86%
2020年8月6日,3292.20 ,3295.43 ,"3,311.36","3,243.65",4.89B,0.00%
2020年8月5日,3292.31 ,3298.14 ,"3,300.90","3,257.29",4.56B,-0.60%
2020年8月4日,3312.13 ,3293.92 ,"3,329.56","3,279.14",6.25B,0.95%
2020年8月3日,3281.10 ,3271.18 ,"3,284.79","3,251.82",4.83B,0.98%
2020年7月31日,3249.34 ,3226.42 ,"3,284.38","3,199.91",4.29B,0.55%
2020年7月30日,3231.52 ,3252.20 ,"3,263.19","3,231.36",3.61B,-0.37%
2020年7月29日,3243.39 ,3184.72 ,"3,245.70","3,171.04",4.36B,1.80%
2020年7月28日,3185.89 ,3188.96 ,"3,205.57","3,168.90",3.57B,0.72%
2020年7月27日,3163.23 ,3178.05 ,"3,194.14","3,136.03",3.76B,0.16%
2020年7月24日,3158.29 ,3265.52 ,"3,270.56","3,136.64",6.06B,-3.83%
