日期,收盘,开盘,高,低,交易量,涨跌幅
2008年1月24日,3818.33 ,3876.36 ,"3,884.06","3,750.15",2.59B,-0.12%
2008年1月23日,3822.82 ,3712.85 ,"3,824.52","3,669.38",2.58B,3.91%
2008年1月22日,3679.01 ,3880.41 ,"3,891.26","3,636.47",2.90B,-7.46%
2008年1月21日,3975.71 ,4203.51 ,"4,212.01","3,960.43",2.04B,-5.25%
2008年1月18日,4195.95 ,4170.01 ,"4,213.71","4,128.22",1.86B,0.41%
2008年1月17日,4178.71 ,4219.70 ,"4,289.93","4,072.68",2.78B,-2.23%
2008年1月16日,4274.02 ,4395.37 ,"4,395.37","4,267.01",2.44B,-3.76%
2008年1月15日,4440.82 ,4511.16 ,"4,515.82","4,421.67",2.20B,-1.30%
2008年1月14日,4499.14 ,4503.68 ,"4,524.29","4,471.74",2.15B,0.39%
2008年1月11日,4481.49 ,4445.23 ,"4,482.57","4,417.05",2.97B,1.13%
2008年1月10日,4431.46 ,4420.32 ,"4,456.10","4,384.45",2.97B,0.58%
2008年1月9日,4405.92 ,4341.53 ,"4,407.39","4,324.91",2.03B,1.10%
2008年1月8日,4358.10 ,4349.48 ,"4,437.57","4,322.13",3.08B,0.64%
2008年1月7日,4330.27 ,4279.92 ,"4,341.47","4,255.50",2.44B,1.11%
2008年1月4日,4282.69 ,4231.35 ,"4,296.02","4,221.65",2.34B,1.24%
2008年1月3日,4230.42 ,4213.02 ,"4,232.18","4,123.12",3.07B,0.25%
2008年1月2日,4219.69 ,4230.81 ,"4,242.19","4,164.76",1.87B,-0.17%
2007年12月28日,4226.76 ,4269.06 ,"4,280.73","4,214.69",2.07B,-0.75%
2007年12月27日,4258.55 ,4191.33 ,"4,258.68","4,160.91",2.26B,1.99%
2007年12月26日,4175.56 ,4174.77 ,"4,207.16","4,121.61",1.75B,0.32%
2007年12月25日,4162.08 ,4179.84 ,"4,200.82","4,144.14",1.56B,-0.25%
2007年12月24日,4172.44 ,4112.52 ,"4,201.85","4,096.67",2.13B,2.24%
2007年12月21日,4081.01 ,4022.45 ,"4,096.24","4,019.68",1.44B,1.01%
2007年12月20日,4040.04 ,3971.75 ,"4,050.77","3,942.63",1.22B,2.20%
2007年12月19日,3953.05 ,3893.22 ,"3,967.67","3,879.71",1.35B,2.70%
2007年12月18日,3849.15 ,3849.20 ,"3,895.36","3,826.92",872.90M,-0.70%
2007年12月17日,3876.14 ,4002.99 ,"4,003.26","3,871.47",1.41B,-3.31%
2007年12月14日,4008.88 ,3901.57 ,"4,010.50","3,881.50",1.16B,1.52%
2007年12月13日,3948.74 ,4061.42 ,"4,075.67","3,944.81",1.36B,-3.30%
2007年12月12日,4083.59 ,4130.77 ,"4,132.11","4,049.10",1.54B,-1.82%
2007年12月11日,4159.43 ,4197.70 ,"4,216.53","4,097.27",1.56B,-0.15%
2007年12月10日,4165.86 ,4052.38 ,"4,172.17","4,040.56",1.74B,1.06%
2007年12月7日,4122.06 ,4076.44 ,"4,128.78","4,075.45",995.50M,1.28%
